Source,Target,Weight
100x,Altcoins,1
100x,CryptoNews,1
100x,ERC20,1
100x,GEM,1
100x,Squeeze,1
100x,StoptheSteal,1
100x,WalletWatcher,1
100x,WaronCryptoTerror,1
100x,WaronRugs,1
100x,cryptocurrency,1
100x,cryptogem,1
100x,investing,1
100xGems,100xcoin,1
100xGems,CryptoGems,2
100xGems,CryptoNews,1
100xGems,ERC20tokens,1
100xGems,GEM,1
100xGems,NewHeatCoinontheComeUp,2
100xGems,Squeeze,2
100xGems,StoptheSteal,3
100xGems,WalletWatcher,2
100xGems,WaronCryptoTerror,2
100xGems,WaronCryptoTerrro,1
100xGems,WaronRugs,3
100xGems,altcoin,1
100xGems,blockchain,1
100xGems,cryptocurrecy,2
100xGems,cryptocurrencies,1
100xGems,investing,2
100xcoin,CryptoNews,1
100xcoin,ERC20tokens,1
100xcoin,GEM,1
100xcoin,StoptheSteal,1
100xcoin,WalletWatcher,1
100xcoin,WaronCryptoTerrro,1
100xcoin,WaronRugs,1
100xcoin,altcoin,1
100xcoin,blockchain,1
100xcoin,cryptocurrencies,1
100xgem,Crypto,1
100xgem,GEM,1
100xgem,Squeeze,1
100xgem,StoptheSteal,1
100xgem,WalletWatcher,1
100xgem,WaronCryptoTerror,1
100xgem,WaronRugs,1
100xgem,cryptocurrencies,1
19Entities,30Meetings,1
19Entities,44Staffers,1
19Entities,90Pages,1
19Entities,Alabama,1
19Entities,Antitrust,1
19Entities,Civil,1
19Entities,ElectionLaw,1
19Entities,Emails,1
19Entities,Expenses,1
19Entities,Facebook,1
19Entities,Florida,1
19Entities,Generals,1
19Entities,January5th,1
19Entities,January6th,1
19Entities,Liability,1
19Entities,Missouri,1
19Entities,MissouriAG,1
19Entities,RAGA,1
19Entities,RLDF,1
19Entities,Report,1
19Entities,RoboCalls,1
19Entities,StopTheSteal,1
19Entities,TheBusinessOfMakingFriends,1
19Entities,USCOC,1
19Entities,WarGames,1
2020Election,Insurrectionist,1
2020Election,J6,1
2020Election,January6th,1
2020Election,StopTheSteal,1
30Meetings,44Staffers,1
30Meetings,90Pages,1
30Meetings,Alabama,1
30Meetings,Antitrust,1
30Meetings,Civil,1
30Meetings,ElectionLaw,1
30Meetings,Emails,1
30Meetings,Expenses,1
30Meetings,Facebook,1
30Meetings,Florida,1
30Meetings,Generals,1
30Meetings,January5th,1
30Meetings,January6th,1
30Meetings,Liability,1
30Meetings,Missouri,1
30Meetings,MissouriAG,1
30Meetings,RAGA,1
30Meetings,RLDF,1
30Meetings,Report,1
30Meetings,RoboCalls,1
30Meetings,StopTheSteal,1
30Meetings,TheBusinessOfMakingFriends,1
30Meetings,USCOC,1
30Meetings,WarGames,1
44Staffers,90Pages,1
44Staffers,Alabama,1
44Staffers,Antitrust,1
44Staffers,Civil,1
44Staffers,ElectionLaw,1
44Staffers,Emails,1
44Staffers,Expenses,1
44Staffers,Facebook,1
44Staffers,Florida,1
44Staffers,Generals,1
44Staffers,January5th,1
44Staffers,January6th,1
44Staffers,Liability,1
44Staffers,Missouri,1
44Staffers,MissouriAG,1
44Staffers,RAGA,1
44Staffers,RLDF,1
44Staffers,Report,1
44Staffers,RoboCalls,1
44Staffers,StopTheSteal,1
44Staffers,TheBusinessOfMakingFriends,1
44Staffers,USCOC,1
44Staffers,WarGames,1
90Pages,Alabama,1
90Pages,Antitrust,1
90Pages,Civil,1
90Pages,ElectionLaw,1
90Pages,Emails,1
90Pages,Expenses,1
90Pages,Facebook,1
90Pages,Florida,1
90Pages,Generals,1
90Pages,January5th,1
90Pages,January6th,1
90Pages,Liability,1
90Pages,Missouri,1
90Pages,MissouriAG,1
90Pages,RAGA,1
90Pages,RLDF,1
90Pages,Report,1
90Pages,RoboCalls,1
90Pages,StopTheSteal,1
90Pages,TheBusinessOfMakingFriends,1
90Pages,USCOC,1
90Pages,WarGames,1
AFP,BilanDeLaHonte,1
AFP,France,1
AFP,GiletsJaunes,1
AFP,Macron,1
AFP,STOPtheSTEAL,1
AFP,Terrorisme,1
AFP,manifs,1
AFP,soignants,1
AFP,vaccination,1
ALCS,RaysvsRedSox,1
ALCS,RedSoxNation,1
ALCS,STOPTHESTEAL,1
