Source,Target,Weight
5BobbyArmstrong,COVID19Ontario,1
5BobbyArmstrong,CondoKingpin,1
5BobbyArmstrong,JohnTory,1
5BobbyArmstrong,NoCostTO,1
5BobbyArmstrong,StopTheSteal,2
5BobbyArmstrong,Toronto,2
5BobbyArmstrong,ZeroVision,1
7711irwin,VA,1
7711irwin,votersuppression,1
A213215,SleepyJoe,1
A213215,stopthesteal,2
A213215,unfairelection,1
AHepburn100,FBI,1
AHepburn100,PaulManafort,1
AHepburn100,Putin,1
A_Finch23,AuditAllStates,1
A_Finch23,StopTheSteal,1
A_Finch23,TrumpWon,1
A_Finch23,WeThePeople,1
ActusMondial,AFP,1
ActusMondial,BilanDeLaHonte,1
ActusMondial,France,1
ActusMondial,GiletsJaunes,1
ActusMondial,Macron,2
ActusMondial,STOPtheSTEAL,2
ActusMondial,Terrorisme,1
ActusMondial,manifs,1
ActusMondial,soignants,1
ActusMondial,vaccination,1
Alsamande,Macron,1
Alsamande,STOPtheSTEAL,1
AmericaHostage,Covid19,2
AmericaHostage,MakeOrwellFictionAgain,2
AmericaHostage,PresidentAsteriskBiden,2
AmericaHostage,ResistCommunism,2
AmericaHostage,Scamdemic,2
AmericaHostage,StopTheSteal,2
AmericaHostage,UnionOfSovietStatesOfAmerica,2
AmericaHostage,WeStandWithTrump,2
AndthenIsleep,kag,1
AndthenIsleep,maga,1
AndthenIsleep,misinformation,1
AphiiHypixel,CopperGolem,1
AphiiHypixel,stopthesteal,1
ArchangeAntoine,AllLivesMatter,1
ArchangeAntoine,BlueLivesMatter,1
ArchangeAntoine,MedicalFreedom,1
ArchangeAntoine,StopTheSteal,1
ArlettaBeasle11,FBI,1
ArlettaBeasle11,PaulManafort,1
ArlettaBeasle11,Putin,1
AzScopedOutTact,Squeeze,1
AzScopedOutTact,StoptheSteal,2
AzScopedOutTact,WalletWatcher,1
AzScopedOutTact,WaronCryptoTerror,2
AzScopedOutTact,WaronRugs,2
BCAri2016,BigLie,1
BCAri2016,GOPTraitorsToDemocracy,1
BCAri2016,LouBarletta,1
BCAri2016,Trump,1
BCAri2016,VoterFraud,1
BCAri2016,kag,1
BCAri2016,maga,1
BCAri2016,misinformation,1
BabeTruth2,kag,1
BabeTruth2,maga,1
BabeTruth2,misinformation,1
BatScientist,KatieCouric,1
BatScientist,RGB,1
BatScientist,StopTheSteal,1
BatScientist,TFG,1
BeckyLouOutdoor,letsgobrandon,1
BeckyLouOutdoor,stopthesteal,1
BigBoa,justiceforashli,7
BigBoa,stopthesteal,9
BigBoa,trump2024,2
BirdDissident,kag,1
BirdDissident,maga,1
BirdDissident,misinformation,1
Boiarski,BURYtheBARR,1
Boiarski,StoptheCount,1
Boiarski,StoptheSteal,1
BombshellDAILY,StopTheSteal,1
BombshellDAILY,ego,1
BombshellDAILY,illegal,1
BombshellDAILY,insurrection,1
BombshellDAILY,kag,2
BombshellDAILY,maga,2
BombshellDAILY,misinformation,2
BombshellDAILY,sedition,1
BombshellDAILY,treason,1
BrendanFerrari,Fancelli,1
BrendanFerrari,Publix,1
BrenzieK,kag,1
BrenzieK,maga,1
BrenzieK,misinformation,1
BrianLIFE_EU,CFPreality,1
BrianLIFE_EU,SSF,1
BrianLIFE_EU,cod,1
BrianLIFE_EU,stopthesteal,1
