Source,Target,Weight
007Danger007,gbrough10,1
0_hank3,gbrough10,1
151_gene,gbrough10,1
1969bird,gbrough10,1
1984_christmas,gbrough10,1
1AJBarrett,RollingStone,1
1JasonRodriguez,gbrough10,1
1TRUMPLVR,gbrough10,1
1Taurenraging,gbrough10,1
1WesRebel,gbrough10,1
1ofthepeopleUSA,gbrough10,1
2020_fed,SportsCenter,1
2021Marcel,gbrough10,1
2021_free,Tam_Resist,2
2Thedogpound,gbrough10,2
4TheLoveOfGood1,gbrough10,1
4_trump4,gbrough10,1
55DoxMom,Tam_Resist,1
57Jayhawk,gbrough10,1
58isthenew40,Jack4NJ,1
58isthenew40,PhilMurphyNJ,1
5BobbyArmstrong,ritagsmith,1
7711irwin,Tam_Resist,1
7im,ryanbort,1
8675309_6,BlackSun_,1
88Y1976,gbrough10,1
A213215,efluffyelephant,1
A213215,noah_rw_,1
A213215,timsloan_18,1
AAllgavesome,gbrough10,1
ABC_Collectible,gbrough10,1
ACaitnop,gbrough10,1
ACarr642,gbrough10,1
AGENT_GATTACA,gbrough10,1
AHepburn100,ddanpereira,1
ALEXS80245780,gbrough10,1
APFMAGIC,AveryHawke8,1
ARedPillRep0rt,gbrough10,1
ATruthBeKnown,gbrough10,1
A_Finch23,WendyRogersAZ,1
A_Tall_Turner,JoannaGagisNJ,1
A_Tall_Turner,NJSpotlightNews,1
A_Tall_Turner,PhilMurphyNJ,1
A_Tall_Turner,mscohen19,1
AaronRafter9,tearsforbeeers,1
Absurdosic,Panthers,1
ActusMondial,jeanletaxe,2
AdkinsDwan,gbrough10,1
Adrienn08866407,gbrough10,1
Afordguy70S,gbrough10,1
AgainTt45,gbrough10,1
AgnesAdagio,gbrough10,1
Al01619246,gbrough10,1
AlbertVallejo3,gbrough10,1
AlbertanHealthy,PeterToupin,1
AlbertanHealthy,yeg,1
Aliettie,gbrough10,1
Allenhardage,NYCSINY,1
Allenworley4,gbrough10,1
AlphasGhost,gbrough10,1
Alsamande,ActusMondial,1
Alsamande,jeanletaxe,1
AltWaStateGov,gbrough10,1
Alt_Pythia,RonFilipkowski,1
Alt_Pythia,patriottakes,1
Alt_Pythia,yyeeaahhhboiii2,1
AmedMarie,gbrough10,1
America11642764,gbrough10,1
AmericanExcept2,gbrough10,1
AmmConservative,gbrough10,1
AmyAyers16,ParkerMolloy,1
Andersj822010,RollingStone,1
AndreaF10337057,gbrough10,1
AndrewR50389700,gbrough10,1
AndthenIsleep,BombshellDAILY,1
Angelicanang2,gbrough10,1
AngusByDesign,atu_279,1
AnnR121714,gbrough10,2
Annette78793089,gbrough10,1
Anon83363635,gbrough10,1
AnsellAdrian,gbrough10,1
Anthony90872670,gbrough10,1
AphiiHypixel,IgnNOACF,1
Apocalypse1977,gbrough10,1
ArdentAmerican,gbrough10,1
Argento1816,gbrough10,1
ArlettaBeasle11,ddanpereira,1
ArmandoCastrov4,gbrough10,1
Aslan_RW,gbrough10,1
AstroFrench7,RollingStone,1
AttitudeBad46,Tam_Resist,1
Avenseur1,gbrough10,1
AzScopedOutTact,Hig44,2
BBJAKK1,gbrough10,1
BBKing1969,gbrough10,2
BBMcGinty,7im,1
BBMcGinty,RSPolitics,1
BBMcGinty,ryanbort,1
BCAri2016,BombshellDAILY,1
BCAri2016,RepLouBarletta,1
BCAri2016,TrumpHasGot2Go,1
BLCeee,bugcruncherz,1
BMLewis2,Tam_Resist,1
BMT8291,ZhiZhuWeb,1
BMcDerm50536194,gbrough10,1
BRADLEYIFV,gbrough10,1
BW56095934,gbrough10,1
B_Aeilflaed,gbrough10,1
BaMbINiT0,gbrough10,1
BabeTruth2,BombshellDAILY,1
BabiebootooLynn,gbrough10,1
BackUpIsHere,gbrough10,1
BaisleyDB,gbrough10,1
BamaReb56,gbrough10,1
Banchmazin,ReptarWax,1
Banchmazin,washingtonpost,1
Barbara50259783,gbrough10,1
Barbaren7,gbrough10,1
Barbrann_S,BlackSun_,1
BaronVanderwolf,gbrough10,1
BatScientist,realDailyWire,1
BeacCorp,CGAdamo,1
BeachitisJeff,gbrough10,1
BeautyBind,Tam_Resist,1
BeckyLouOutdoor,RNCResearch,1
BeeSue64687496,gbrough10,1
BehringerBrent,gbrough10,2
BelleStarr1776,gbrough10,1
BenPhilip22,RollingStone,1
BennettGisel,gbrough10,1
BennuSpaceRock,BlackSun_,1
BentleyK,gbrough10,1
BethLore1,gbrough10,1
BetoAngelMommas,RepRiggleman,1
BetsyBrawner,gbrough10,1
BgBardasMegaRod,gbrough10,2
BigBoa,ArrowoodAnna,1
BigBoa,Csense_guy,1
BigBoa,FascisToddynho,1
BigBoa,KSainvil,1
BigBoa,KurtTazelaar,1
BigBoa,RCortKirkwood,1
BigBoa,ShannonStrength,1
BigBoa,WakeHill,1
BigBoa,jimkenny62,1
BigBoa,k8sl8on,1
BigBoa,leofiregoddess,1
BigBoa,mommaog43,1
BigBoa,patriottakes,1
BigBoa,themikewest,1
BigBobDC68,gbrough10,1
BigGuy60115595,gbrough10,2
BillDickTracy,gbrough10,1
BillPlains,gbrough10,1
Billis4rox,gbrough10,1
BirdDissident,BombshellDAILY,1
BirdieGirl52,gbrough10,1
BitRichard,gbrough10,1
BlackSun_,satirehat,1
Blake_C_Mann,gbrough10,1
BlueWaveSaveUs,Tam_Resist,3
BobPotts15,gbrough10,1
BobSanford13,gbrough10,1
BobSlater18,gbrough10,1
BobStrom1,gbrough10,1
BobbyGaddis,gbrough10,1
BocaBocaBoca6,gbrough10,1
Boiarski,FrackHazReveal,1
Bolt1961,gbrough10,1
BombshellDAILY,MusicBombshell,1
BossaRocco,gbrough10,1
BrandonWest01,Tam_Resist,4
Brandyjb6,gbrough10,1
BrendanFerrari,crooksandliars,1
BrendonCosta3,ParkerMolloy,1
BrensDream,gbrough10,1
BrenzieK,BombshellDAILY,1
BrianLIFE_EU,fnifeatures,1
BrianRReda1,gbrough10,1
Brooklynne84,JoannaGagisNJ,1
Brooklynne84,NJSpotlightNews,1
Brooklynne84,PhilMurphyNJ,1
Brooklynne84,mscohen19,1
BrulonDavid,gbrough10,1
BubbleCovfefe,gbrough10,1
BuckSwift1,ParkerMolloy,1
Bullybull22,gbrough10,1
ByrdDany,gbrough10,1
CDEKeane,gbrough10,2
CG_innisHeaux,DmSimmons_5,1
CG_innisHeaux,MauriceB___,1
CG_innisHeaux,TeamJones__,1
CHX003,gbrough10,1
CJHUNT65537064,gbrough10,1
COOLBRE02671649,gbrough10,1
CRFlixxx,Mgon,1
CRFlixxx,ali,1
C_EF,gbrough10,1
Cahira,JamesRusso2d3d,1
Cahira,MalcolmNance,1
Cahira,Tam_Resist,1
Cali_Cris1,gbrough10,1
Callum_Mac55,ParkerMolloy,1
CaptainNostrad1,Tam_Resist,1
Captainbase1,gbrough10,1
CardiacSmarts,7im,1
CardiacSmarts,ryanbort,1
Cari50194890,gbrough10,1
CarlosCiroA,gbrough10,1
CarlsbadDodger,gbrough10,1
CarolDunnack,gbrough10,1
Carrie_Kelly17,gbrough10,1
Cat58,gbrough10,1
CatherineVartan,gbrough10,1
CathyMoss61,gbrough10,1
CathyNolley,gbrough10,1
CatieGus,gbrough10,1
CdevosChris,CheriJacobus,1
CdevosChris,TweetsPamela,1
CerveneMichelle,gbrough10,1
ChampAndMajor2,Tam_Resist,1
CharlesRadborne,MZHemingway,1
CharliiamMay,PARISDENNARD,1
Charlot1949,gbrough10,1
Chatsmith2,gbrough10,1
Chattiepatty223,Tam_Resist,1
Chatula2,AlexAlvarova,1
ChemicalEyeGuy,AllenWest,1
ChemicalEyeGuy,BORUSG,1
ChemicalEyeGuy,Coach_Devaney,1
ChemicalEyeGuy,DavidDeMera7,1
ChemicalEyeGuy,DeptofDefense,1
ChemicalEyeGuy,FBI,1
ChemicalEyeGuy,HuffPost,2
ChemicalEyeGuy,JakeThompsonOE,1
ChemicalEyeGuy,JenaGriswold,1
ChemicalEyeGuy,KenoshaPolice,1
ChemicalEyeGuy,RVAwonk,1
ChemicalEyeGuy,TeaPainUSA,1
ChemicalEyeGuy,USArmy,1
ChemicalEyeGuy,UTKnoxville,1
ChemicalEyeGuy,VICENews,1
ChemicalEyeGuy,WPLN,1
ChemicalEyeGuy,benshapiro,1
ChemicalEyeGuy,curiouswavefn,1
ChemicalEyeGuy,davenewworld_2,1
ChemicalEyeGuy,jonkarl,1
ChemicalEyeGuy,maxwellhoffmann,1
ChemicalEyeGuy,nypost,1
ChemicalEyeGuy,parler_app,1
ChemicalEyeGuy,staceyabrams,1
ChemicalEyeGuy,thedailybeast,1
ChemicalEyeGuy,ushi_teitel,1
CherZim7,gbrough10,1
Cheryl25044450,Tam_Resist,1
Chi2soCal2LV,gbrough10,1
ChiefsFanLaura,gbrough10,1
Chiefswife70,gbrough10,1
ChloeEliz4,gbrough10,1
Chris07479124,gbrough10,1
ChrisLeahey1,gbrough10,1
ChrissyAnn7876,gbrough10,1
ChristianHidden,gbrough10,1
ChristieWooda17,gbrough10,1
Christm02271751,gbrough10,1
Christo60964150,gbrough10,1
ChuckD82344484,RollingStone,1
ChuckWilken,gbrough10,1
Chyanne1107,gbrough10,1
CindisPLace,Tam_Resist,3
CindyMAGAgma,gbrough10,1
CissyBGood67,BombshellDAILY,1
CissyBGood67,MusicBombshell,1
CivilizedWarri1,LevDoctor,1
CkitOutPassitON,gbrough10,1
Clayconboy1,gbrough10,1
ClintonCoDemsMI,RollingStone,1
CloudFax,VoterGa,1
Clyde50678503,gbrough10,1
CnBsNana,7im,1
CnBsNana,ryanbort,1
CochgerDavid,gbrough10,1
CodyWil67343302,gbrough10,1
Cole707resident,RollingStone,1
ColeenC123,gbrough10,1
Combs6combs,gbrough10,1
Comixgrrl,DrPaulGosar,1
Comixgrrl,FordFischer,1
Comixgrrl,January6thCmte,1
Condordh,gbrough10,1
ConservaMomUSA,gbrough10,1
CoolidgeBCoolin,gbrough10,1
CourtesyFlush5,NatesMama1128,1
CourtesyFlush5,SportsBoyTony,1
CplBart,gbrough10,1
Crazy4Chis,Tam_Resist,1
CrystalSURFgerl,gbrough10,1
CrystalSURFgrl,gbrough10,1
CulpeperPatriot,gbrough10,1
CurtisHebert,gbrough10,1
CustomClubMaker,gbrough10,1
DAVIDCA52134525,gbrough10,2
DCapp74,gbrough10,1
DENISEWALKERinD,Tam_Resist,1
DGonzaloP,gbrough10,1
DKellyMoore1,gbrough10,1
DLG_Lo,gbrough10,1
DR5150,gbrough10,1
DSteampipe,gbrough10,1
DTrumpistan1,LizWillis_,1
DaFluittMan,Tam_Resist,1
DaddyONine,Backedwithdata,1
DaddyONine,RobHNY,1
DamagedGoods200,gbrough10,1
Dambr0h,gbrough10,1
DaneHarbour,gbrough10,1
DannySabato2,Tam_Resist,1
DarrenHahm,gbrough10,1
Dave34396506,gbrough10,1
Dave92442188,JamesRusso2d3d,1
Dave92442188,MalcolmNance,1
Dave92442188,Tam_Resist,1
DaveTurbohawk,gbrough10,1
DavidARader,gbrough10,1
DavidJo73577137,gbrough10,1
DavidMK187,Tam_Resist,5
DavisonHarley1,gbrough10,1
DawnGoodwell,gbrough10,1
DawnLandon4,gbrough10,1
DawnP4Liberty,gbrough10,1
DayaRyelle,ClintonCoDemsMI,1
DayaRyelle,RollingStone,1
DeanaWa02546502,gbrough10,1
DebbieGBUK,RollingStone,1
DebieVivers,MusicBombshell,1
DeborahYearyDDD,BombshellDAILY,1
DeeDambrosia,gbrough10,1
DemocrateRhoz,GRhozzy,1
DemocrateRhoz,MrGordo26526781,1
Den21798336,gbrough10,1
Dennis13638586,gbrough10,1
DennisMaroules,gbrough10,1
Deplora69069010,gbrough10,1
Deplorabledodos,gbrough10,1
DeporableProud,gbrough10,1
DerikHope,gbrough10,1
DesdeFlorida,gbrough10,2
DiSo56,gbrough10,1
DianaAnsah12,BillionToken,1
DianaAnsah12,Hig44,1
DianaAnsah12,SqueezeToken,1
DianaGi53386346,gbrough10,1
DianeDelavallee,ActusMondial,1
DianeDelavallee,jeanletaxe,1
DianePavlick,gbrough10,1
DianeWSexton,gbrough10,1
Dianestromberg2,gbrough10,1
Dijital64,gbrough10,1
Diogenese16,gbrough10,1
DiomedesTrisme,CultWineGrinch,1
DixieLand__Diva,gbrough10,1
DoctorSyntax,7im,1
DoctorSyntax,ryanbort,1
DomGuerra22,gbrough10,1
DonaldAdriatico,gbrough10,1
DontKn0wYet,Tam_Resist,1
Dooley_Virginia,gbrough10,1
DrBianca84,5BobbyArmstrong,1
DrDigiPol,Tam_Resist,1
DrDourbine,lavern_spicer,1
DrNancyHoffman,MacFarlaneNews,1
DrNurseProf,BrentAllpress,1
DrNurseProf,jennycohn1,1
DropOfWater12,gbrough10,1
DuaneBall,gbrough10,1
DuraE66,gbrough10,1
Dying2bRight,gbrough10,2
E1A2p3S4,gbrough10,1
EAGLESTAXI,5BobbyArmstrong,1
ESPADA53679132,gbrough10,2
Eathbound420,JamesRusso2d3d,1
Eathbound420,MalcolmNance,1
Eathbound420,Tam_Resist,4
EatonCountyDems,ClintonCoDemsMI,1
EatonCountyDems,RollingStone,1
EclecticMommaZ,AveryHawke8,1
EconomicVitali1,JunkScience,1
EdgarAl66429219,gbrough10,1
EdwinJa12324539,gbrough10,1
Elaine_Chao1,MEGSGovSim,1
Elcaretuco,gbrough10,1
ElectBlue2022,Tam_Resist,4
Elenilinda11,Tam_Resist,1
ElkeHollings,ddanpereira,1
ElleCooper5,gbrough10,1
Ellenleigh3,Tam_Resist,1
ElliAdventurer,tedcruz,1
ElonGuild,Jack4NJ,1
ElonGuild,MELANIATRUMP,1
EmBeesWeb,GreerMcVay,1
EmBeesWeb,KatiePhang,1
EmBeesWeb,MacFarlaneNews,1
Emaxx2044,gbrough10,1
EmilyNorvell19,gbrough10,1
EmjayWilson1,Tam_Resist,1
EmjayWilson1,joemanchin,1
Emorej563,gbrough10,1
EmptyShelves46,gbrough10,1
En_truh_pee,gbrough10,1
EnglishNadja,gbrough10,1
Erc20Gem,BillionToken,1
Erc20Gem,Hig44,4
Erc20Gem,SqueezeToken,1
Ervin13965329,rovcheck,1
ErvinErvinp,AlexAlvarova,1
EstuardoSpeaks,gbrough10,1
EyeMMom,TheBradBlog,1
FLBlueBird1,BrentAllpress,1
