Link: https://www.naturalnews.com/
Facebook Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
0,0,0,0

Source,Followers,Date,Interactions,Post Type,Link
Fox News Sean Hannity,12240,Mon Dec 02 2019 16:24:14 GMT+0000,50453,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2446101075652083
IUBIM ORTODOXIA,153020,Tue Jan 29 2019 18:45:56 GMT+0000,1446,Facebook,https://www.facebook.com/769866573059648/posts/2113547865358172
José Luis Camacho Espina,0,Thu Sep 28 2017 18:36:09 GMT+0000,1302,Facebook,https://www.facebook.com/335909243281118/posts/647968232075216
Dr. Christiane Northrup,0,Thu May 30 2013 02:47:02 GMT+0000,1193,Facebook,https://www.facebook.com/118912795028/posts/10152857815890029
Vaccine Awareness South Africa - VASA,6890,Wed Nov 06 2019 12:31:24 GMT+0000,1162,Facebook,https://www.facebook.com/398819000228205/posts/2306442519465834
Fox News Sean Hannity,7503,Sat Sep 28 2019 20:54:40 GMT+0000,887,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2384053698523488
Godless Engineer,0,Sun Sep 22 2013 00:50:25 GMT+0000,764,Facebook,https://www.facebook.com/259423757512900/posts/406134342841840
The Unknown; But Not Hidden,0,Mon Nov 03 2014 01:22:53 GMT+0000,657,Facebook,https://www.facebook.com/683985954966462/posts/852808401417549
Police State USA: Land of the Checkpoints,0,Sat Jul 27 2013 17:06:02 GMT+0000,635,Facebook,https://www.facebook.com/165801456790697/posts/556729247697914
Fox News Sean Hannity,13005,Thu Dec 12 2019 21:04:59 GMT+0000,619,Facebook,https://www.facebook.com/groups/1879196809009182/permalink/2456685371260320
स्वदेशी अपनाओ देश बचाओ,0,Sat Jun 08 2013 15:30:00 GMT+0000,613,Facebook,https://www.facebook.com/308901045790916/posts/660625313951819
The Patriot Nurse,82119,Thu Apr 15 2021 16:23:36 GMT+0000,582,Facebook,https://www.facebook.com/100044643360070/posts/311230953708348
PORMAL,0,Thu Oct 03 2013 10:22:48 GMT+0000,508,Facebook,https://www.facebook.com/378561150056/posts/10153296859335057
Sağlıklı Yaşıyoruz,0,Mon Feb 01 2016 11:47:09 GMT+0000,492,Facebook,https://www.facebook.com/307166446059759/posts/837782422998156
Stop all genocide and ecocide,288,Tue Feb 04 2020 13:27:17 GMT+0000,462,Facebook,https://www.facebook.com/groups/270525877102786/permalink/590687048419999
Alternativos.cl,0,Tue Oct 01 2019 09:00:01 GMT+0000,461,Facebook,https://www.facebook.com/217583811687293/posts/2188330944612560
Permaculture Pirates,144518,Thu Oct 10 2019 09:25:18 GMT+0000,449,Facebook,https://www.facebook.com/416366475116647/posts/2493882337365040
The Unknown; But Not Hidden,0,Sat Dec 27 2014 07:00:00 GMT+0000,413,Facebook,https://www.facebook.com/683985954966462/posts/882563301775392
CLEAR Cannabis Law Reform,624154,Sun Mar 27 2016 15:42:35 GMT+0000,410,Facebook,https://www.facebook.com/164141253644583/posts/1116150565110309
Truth In A World of Deception,7038,Mon Oct 07 2019 01:28:54 GMT+0000,407,Facebook,https://www.facebook.com/230007017116293/posts/2398712800245693
The Unknown; But Not Hidden,0,Thu Dec 25 2014 20:23:15 GMT+0000,386,Facebook,https://www.facebook.com/683985954966462/posts/881636598534729
Eco(R)esistenza,0,Wed Jan 16 2013 18:46:23 GMT+0000,368,Facebook,https://www.facebook.com/203737476337348/posts/508356779208748
鄉民實業坊,0,Mon Jun 29 2015 09:00:01 GMT+0000,292,Facebook,https://www.facebook.com/113447180402/posts/10155709975235403
Tattva Viveka,0,Thu Sep 26 2013 09:36:48 GMT+0000,280,Facebook,https://www.facebook.com/140593795957576/posts/736011406415809
GARY WAYNE & THE GENESIS 6 CONSPIRACY,5206,Wed Feb 19 2020 06:55:13 GMT+0000,276,Facebook,https://www.facebook.com/groups/1434635263263359/permalink/2846381628755375
JESUS  Our Shalom Peace,0,Mon Sep 30 2013 04:35:18 GMT+0000,262,Facebook,https://www.facebook.com/344985725610244/posts/434851429957006
Puppy Happiness,913269,Sun May 21 2017 05:00:04 GMT+0000,258,Facebook,https://www.facebook.com/200480987029017/posts/276739292736519
Lilly B's Foods,0,Fri Apr 01 2016 15:35:00 GMT+0000,244,Facebook,https://www.facebook.com/30295903030/posts/10153650114278031
The Unknown; But Not Hidden,0,Mon Dec 29 2014 10:00:00 GMT+0000,239,Facebook,https://www.facebook.com/683985954966462/posts/884127358285653
Vaccines Exposed,11929,Tue Oct 15 2019 18:52:34 GMT+0000,228,Facebook,https://www.facebook.com/653656581426800/posts/2282364945222614
The Unknown; But Not Hidden,0,Sun Dec 28 2014 11:00:00 GMT+0000,226,Facebook,https://www.facebook.com/683985954966462/posts/883283555036700
TeslaNova,0,Sat May 31 2014 01:00:00 GMT+0000,219,Facebook,https://www.facebook.com/236978329705763/posts/677124672357791
Permaculture Pirates,146343,Wed Oct 23 2019 16:56:38 GMT+0000,217,Facebook,https://www.facebook.com/416366475116647/posts/2521883381231602
Természetgyógyászat  'Dr. Weixl Várhegyi László módszereivel,15000,Sat Nov 28 2020 21:36:10 GMT+0000,215,Facebook,https://www.facebook.com/groups/1676925945875554/permalink/2922292838005519
HAL LINDSEY BIBLE PROPHECY TODAY,25174,Wed Oct 16 2019 17:29:58 GMT+0000,206,Facebook,https://www.facebook.com/groups/314259348658894/permalink/2585418434876296
Oregonians for Healthcare Choice,10068,Mon Oct 07 2019 22:11:27 GMT+0000,205,Facebook,https://www.facebook.com/337316776389390/posts/2439974672790246
Puppies are Adorable,492289,Fri Jun 09 2017 07:15:04 GMT+0000,205,Facebook,https://www.facebook.com/1262723747153101/posts/1480005932091547
Newsworthies,0,Sat Aug 31 2013 00:35:12 GMT+0000,204,Facebook,https://www.facebook.com/116727628853/posts/10151914315578854
UNplanned Parenthood,0,Mon Oct 28 2019 15:40:16 GMT+0000,203,Facebook,https://www.facebook.com/441992099909243/posts/559057324869386
